file_id,file_name,file_size,case_id,case_submitter_id,sample_type
c02d0b89-2cf1-4bf9-a332-17d6f5648794,4a1eb654-42cd-48df-89df-8ff3fcb9c3f4.rna_seq.augmented_star_gene_counts.tsv,4234177,23ce818f-a1db-4404-a5b5-57f705096b0c,DLBCL10867,Tumor
6f138767-693d-456f-a00e-1a27322fcc61,ee34306f-8ba4-4aae-9390-912193687f38.rna_seq.augmented_star_gene_counts.tsv,4190702,3458f89d-c194-4fc7-8d73-0d4f537d5902,DLBCL10505,Tumor
0d2ecc6f-589c-49ab-9774-b9aaff684c8b,13bdede4-0b55-444e-b4cd-54cd9268b787.rna_seq.augmented_star_gene_counts.tsv,4232441,499918f3-b43c-43bf-b426-7a90f62232a1,DLBCL10904,Tumor
4de8f136-9edf-4c0b-9b3d-9b2c98528d28,685e004b-5b10-4c92-8fec-a95584e657e8.rna_seq.augmented_star_gene_counts.tsv,4224984,37bfc0fe-0c55-41d2-b0cb-fd47e5832cfc,DLBCL11452,Tumor
5ffe0459-e625-4a7f-b0ed-ceaeddbbd422,3eb17980-65f0-4fdd-84f4-2e31e7a15351.rna_seq.augmented_star_gene_counts.tsv,4241762,4a50a9c2-2fd5-460c-80c6-1cae585f8edc,DLBCL10550,Tumor
c6916242-46cb-4739-a4b6-6eeef094ec69,1eafaf54-03a5-493b-9b34-1cf41b884942.rna_seq.augmented_star_gene_counts.tsv,4225715,28c94845-7c32-4f03-ba05-2a42500614db,DLBCL10471,Tumor
3b781220-578f-4ba9-aba7-45e6bf6b45d4,100ee6e8-7fba-4000-95ca-fa4cabfc1449.rna_seq.augmented_star_gene_counts.tsv,4233336,4bf04d2c-ca5f-4bdf-95a0-1621ae1e31e0,DLBCL10531,Tumor
3796028b-5024-4dd8-9b5e-5e938e690cb9,c214454f-90be-4e8e-9428-74169ded8b92.rna_seq.augmented_star_gene_counts.tsv,4200822,2a052bbb-1f37-4d20-8764-e921156b66e6,DLBCL10514,Tumor
f728d4c3-3c5f-4ab1-9a8b-0fe298a2a840,d14a2ea0-1533-4d79-afef-559a1da3cc86.rna_seq.augmented_star_gene_counts.tsv,4217344,630517f2-f84c-4a4f-b0dc-aebee2723a8c,DLBCL10503,Tumor
4682477f-06fd-4bcc-b025-76942e0e9f00,75b8398e-475d-4019-8ed9-cb6e022d9135.rna_seq.augmented_star_gene_counts.tsv,4242334,424052fb-c27a-447c-9445-c426ff966357,DLBCL10890,Tumor
6c3693a6-d367-42d5-af29-6602e686c879,3f06c6d5-af7d-42a0-972d-0479ebbba1dc.rna_seq.augmented_star_gene_counts.tsv,4238559,42a8213b-5da2-4825-a753-09e881703a2a,DLBCL10994,Tumor
4f9849d2-e9f7-4fdc-a085-2e447233885e,a2b532ac-6101-41ea-b75b-eec29c26d130.rna_seq.augmented_star_gene_counts.tsv,4201195,72c71385-bc32-46c2-9377-3a144e6752eb,DLBCL10464,Tumor
